Dzielnica,Metraż,Pokoje,Piętro,Cena
Wola,42.81,2,2,1231001.0
Białołęka,118.9,4,2,1947090.0
Mokotów,155.46,5,2,1990000.0
Wilanów,72.7,3,2,1490000.0
Ursynów,63.0,2,2,817000.0
Mokotów,34.44,2,2,716594.0
Mokotów,54.38,3,2,1017911.0
Mokotów,57.0,3,2,1125000.0
Mokotów,71.25,3,2,1303379.0
Praga-Północ,39.73,2,2,774735.0
Praga-Północ,27.58,1,2,601244.0
Wawer,85.0,4,2,985000.0
Praga-Południe,36.96,2,2,703804.0
Wesoła,62.21,3,2,1239000.0
Ursus,53.0,3,2,751000.0
Ursus,53.0,3,2,751000.0
Mokotów,48.0,2,2,999000.0
Praga-Południe,59.08,2,2,1091400.0
Wola,30.0,2,2,1100000.0
Bemowo,53.54,3,2,968200.0
Praga-Południe,36.42,2,2,801240.0
Wola,30.55,1,2,59.0
Białołęka,61.79,3,2,894719.0
Mokotów,39.92,2,2,781633.0
Wawer,75.0,4,2,1190000.0
Wawer,75.26,3,2,1075000.0
Mokotów,38.2,2,2,649333.0
Mokotów,34.49,2,2,726014.0
Mokotów,64.44,3,2,1399000.0
Ochota,57.0,2,2,888000.0
Mokotów,125.0,4,2,9700000.0
Mokotów,185.0,5,2,4112920.0
Praga-Południe,52.8,3,2,725000.0
Targówek,53.5,3,2,650000.0
Białołęka,67.06,3,2,736900.0
Ursus,57.73,3,2,871723.0
Wawer,59.55,3,2,1190000.0
Mokotów,42.2,3,2,725000.0
Praga-Północ,37.77,2,2,590000.0
Mokotów,42.1,2,2,699000.0
Praga-Południe,41.05,2,2,746059.0
Białołęka,56.8,3,2,675920.0
Białołęka,89.0,4,2,12900.0
Wilanów,88.0,5,2,16800.0
Białołęka,55.57,3,2,795595.0
Wola,43.0,2,2,924450.0
Wola,117.0,4,2,2450000.0
Żoliborz,37.0,2,2,649000.0
Śródmieście,77.69,3,2,1850000.0
Wilanów,69.0,3,2,1199000.0
Śródmieście,109.64,4,2,3789944.0
Ursynów,67.0,3,2,1399000.0
Wilanów,72.37,3,2,1364374.0
Ochota,112.57,4,2,1850000.0
Ochota,35.34,1,2,615000.0
Ursus,51.66,3,2,832383.0
Wilanów,134.56,4,2,3928226.0
Mokotów,64.44,3,2,1399000.0
Praga-Południe,33.92,2,2,654656.0
Mokotów,36.0,2,2,683000.0
Ursus,45.66,2,2,716862.0
Bielany,36.6,1,2,580000.0
Ursus,84.4,4,2,1249000.0
Wola,41.0,2,2,949000.0
Włochy,59.0,3,2,1180000.0
Śródmieście,45.73,3,2,899000.0
Wawer,81.0,4,2,11968.0
Bielany,37.0,2,2,758000.0
Białołęka,82.34,3,2,849900.0
Ursynów,94.0,3,2,830000.0
Praga-Południe,34.0,2,2,520000.0
Praga-Północ,53.85,1,2,963915.0
Mokotów,93.0,4,2,19149.0
Białołęka,61.0,3,2,828000.0
Mokotów,31.0,1,2,660000.0
Ursus,25.0,4,2,1200000.0
Wola,33.9,2,2,760000.0
Śródmieście,47.5,2,2,1069000.0
Włochy,50.0,4,2,1205000.0
Targówek,37.0,2,2,800000.0
Bemowo,54.3,2,2,899000.0
Wola,44.24,2,2,752000.0
Mokotów,28.23,1,2,625000.0
Praga-Południe,73.0,3,2,1050000.0
Ursynów,67.0,3,2,1399000.0
Wola,56.0,2,2,1390000.0
Praga-Północ,49.61,2,2,1075000.0
Praga-Południe,51.0,2,2,630000.0
Bielany,56.0,3,2,1290000.0
Praga-Południe,38.24,2,2,650000.0
Praga-Południe,33.92,2,2,654656.0
Praga-Południe,23.7,1,2,420000.0
Praga-Północ,64.0,3,2,730000.0
Praga-Południe,49.0,3,2,750000.0
Praga-Północ,55.0,3,2,899000.0
Białołęka,78.0,4,2,12200.0
Ursus,62.0,3,2,14682.0
Żoliborz,0.51,2,2,1019000.0
Żoliborz,38.0,2,2,600000.0
Targówek,155.07,5,2,1690000.0
Śródmieście,58.8,2,2,1480000.0
Wilanów,68.0,3,2,1500000.0
Bielany,70.55,3,2,1000000.0
Wilanów,54.6,2,2,950000.0
Bemowo,90.3,3,2,1550000.0
Wilanów,87.0,3,2,1870500.0
Targówek,155.07,5,2,1690000.0
Ursus,43.0,2,2,664500.0
Mokotów,40.97,2,2,982050.0
Praga-Północ,43.58,2,2,849810.0
Wola,30.81,2,2,995000.0
Mokotów,65.0,2,2,1500000.0
Białołęka,68.0,3,2,1250000.0
Wola,35.45,2,2,680000.0
Białołęka,106.89,4,2,1689000.0
Białołęka,34.69,2,2,503005.0
Wola,73.0,4,2,18500.0
Wawer,107.59,4,2,1270000.0
Włochy,18.0,3,2,985000.0
Targówek,37.0,2,2,665000.0
Śródmieście,47.0,3,2,1190000.0
Praga-Południe,29.68,1,2,603600.0
Wola,81.18,4,2,1704000.0
Praga-Południe,23.7,1,2,420000.0
Praga-Południe,58.96,3,2,1100000.0
Praga-Południe,102.0,5,2,15518.0
Białołęka,58.41,3,2,794641.0
Białołęka,157.72,6,2,3500000.0
Wola,68.0,3,2,1499999.0
Targówek,55.5,2,2,795000.0
Mokotów,55.0,3,2,1150000.0
Bemowo,65.0,3,2,879000.0
Mokotów,92.0,4,2,16500.0
Praga-Południe,104.0,4,2,18129.0
Wola,46.5,2,2,698000.0
Ochota,92.0,3,2,1830000.0
Ursus,42.4,2,2,659900.0
Ochota,21.8,1,2,499000.0
Wola,38.0,2,2,670000.0
Żoliborz,63.5,4,2,739900.0
Praga-Południe,23.05,1,2,399000.0
Śródmieście,138.0,3,2,8150000.0
Ursynów,37.06,2,2,799000.0
Śródmieście,48.0,3,2,960000.0
Ochota,63.5,4,2,949000.0
Włochy,38.0,2,2,740000.0
Targówek,38.0,3,2,529000.0
